City,Rank,State,Growth From 2000 to 2013,Population,Coordinates
Milford,713,Connecticut,1.8,51644,41.2306979
Albany,714,Oregon,25.5,51583,44.6365107
Ankeny,715,Iowa,86.9,51567,41.7317884
La Crosse,716,Wisconsin,-0.8,51522,43.8013556
Burlington,717,North Carolina,12.1,51510,36.0956918
DeSoto,718,Texas,36,51483,32.5896998
Harrisonburg,719,Virginia,27.1,51395,38.4495688
Minnetonka,720,Minnesota,0.4,51368,44.9211836
Elkhart,721,Indiana,-2.5,51265,41.6819935
Lakewood,722,Ohio,-9.4,51143,41.4819932
Glendora,723,California,3.1,51074,34.1361187
Southaven,724,Mississippi,72.8,50997,34.9889818
Charleston,725,West Virginia,-4.7,50821,38.3498195
Joplin,726,Missouri,11.2,50789,37.0842271
Enid,727,Oklahoma,8.1,50725,36.3955891
Palm Beach Gardens,728,Florida,39.6,50699,26.8233946
Brookhaven,729,Georgia,,50603,33.8651033
Plainfield,730,New Jersey,5.7,50588,40.6337136
Grand Island,731,Nebraska,16,50550,40.9263957
Palm Desert,732,California,13.2,50508,33.7222445
Huntersville,733,North Carolina,92.9,50458,35.410694
Tigard,734,Oregon,17.8,50444,45.4312294
Lenexa,735,Kansas,24.6,50344,38.9536174
Saginaw,736,Michigan,-18.2,50303,43.4194699
Kentwood,737,Michigan,10.5,50233,42.8694731
Doral,738,Florida,137.6,50213,25.8195424
Apple Valley,739,Minnesota,9.2,50201,44.7319094
Grapevine,740,Texas,17.6,50195,32.9342919
Aliso Viejo,741,California,25.4,50175,33.5676842
Sammamish,742,Washington,44.1,50169,47.6162683
Casa Grande,743,Arizona,86,50111,32.8795022
Pinellas Park,744,Florida,5.9,49998,27.8428025
Troy,745,New York,1.5,49974,42.7284117
West Sacramento,746,California,55.6,49891,38.5804609
Burien,747,Washington,56.7,49858,47.4703767
Commerce City,748,Colorado,135.4,49799,39.8083196
Monroe,749,Louisiana,-6.1,49761,32.5093109
Cerritos,750,California,-3.6,49707,33.8583483
Downers Grove,751,Illinois,0,49670,41.8089191
Coral Gables,752,Florida,16.1,49631,25.72149
